"species","latitude","longitude","date_obs","source"
"Impatiens glandulifera",47.19584,9.37427,2025-05-26,"gbif"
"Impatiens glandulifera",47.4798,9.41516,2025-05-16,"gbif"
"Impatiens glandulifera",47.46567,9.49302,2025-05-19,"gbif"
"Impatiens glandulifera",47.4762,9.41156,2025-05-16,"gbif"
"Impatiens glandulifera",47.24541,9.17359,2025-05-21,"gbif"
"Impatiens glandulifera",47.39966,9.23502,2025-05-13,"gbif"
"Impatiens glandulifera",47.27368,9.52496,2025-05-22,"gbif"
"Impatiens glandulifera",47.48415,9.42391,2025-05-16,"gbif"
"Impatiens glandulifera",47.46932,9.40683,2025-05-14,"gbif"
"Impatiens glandulifera",47.47726,9.41174,2025-05-16,"gbif"
"Impatiens glandulifera",47.31992,9.08647,2025-05-28,"gbif"
"Impatiens glandulifera",47.3876,9.52359,2025-05-27,"gbif"
"Impatiens glandulifera",47.47468,9.41129,2025-05-14,"gbif"
"Impatiens glandulifera",47.47665,9.22405,2025-05-21,"gbif"
"Impatiens glandulifera",47.45872,9.17272,2025-05-20,"gbif"
"Impatiens glandulifera",47.47632,9.41128,2025-05-16,"gbif"
"Impatiens glandulifera",47.45832,9.16814,2025-05-20,"gbif"
"Impatiens glandulifera",47.43495,9.1635,2025-05-25,"gbif"
"Impatiens glandulifera",47.19531,9.37389,2025-05-26,"gbif"
"Impatiens glandulifera",47.42428,8.10964,2025-05-21,"gbif"
"Impatiens glandulifera",47.27362,9.51298,2025-05-21,"gbif"
"Impatiens glandulifera",47.4647,9.40414,2025-05-13,"gbif"
"Impatiens glandulifera",47.19531,9.3743,2025-05-26,"gbif"
"Impatiens glandulifera",47.47746,9.41155,2025-05-16,"gbif"
"Impatiens glandulifera",47.32848,9.08246,2025-05-28,"gbif"
"Impatiens glandulifera",47.30661,9.08466,2025-05-26,"gbif"
"Impatiens glandulifera",47.41431,8.1113,2025-05-09,"gbif"
"Impatiens glandulifera",47.477,9.41159,2025-05-16,"gbif"
"Impatiens glandulifera",47.38709,9.5232,2025-05-27,"gbif"
"Impatiens glandulifera",47.1956,9.37406,2025-05-26,"gbif"
"Impatiens glandulifera",47.28788,9.09885,2025-05-27,"gbif"
"Impatiens glandulifera",47.41973,8.12315,2025-05-21,"gbif"
"Impatiens glandulifera",47.36403,8.17416,2025-05-29,"gbif"
"Impatiens glandulifera",47.48075,9.41564,2025-05-16,"gbif"
"Impatiens glandulifera",47.45309,9.40217,2025-05-16,"gbif"
